储能容量(MWh),储能功率(MW),储能时长(小时),日合成氨产量(吨),储能日成本(元),储能单位成本(元/吨)
0.0,0.0,nan,46.48642409638555,0.0,0.0
0.0,0.0,nan,46.48642409638555,0.0,0.0
0.0,0.0,nan,46.48642409638555,0.0,0.0
10.0,1.25,8.0,23.54527835858442,1976.4840182648402,83.94396482232413
10.0,2.5,4.0,47.09055671716884,1976.4840182648402,41.97198241116207
10.0,5.0,2.0,47.09055671716884,1976.4840182648402,41.97198241116207
20.0,2.5,8.0,23.8700777023745,3878.4104829733246,162.48001080396634
20.0,5.0,4.0,47.740155404749,3878.4104829733246,81.24000540198317
20.0,10.0,2.0,47.740155404749,3878.4104829733246,81.24000540198317
30.0,3.75,8.0,24.191388046187896,5890.583006776788,243.49917398414982
30.0,7.5,4.0,48.38277609237579,5890.583006776788,121.74958699207491
30.0,15.0,2.0,48.38277609237579,5890.583006776788,121.74958699207491
40.0,5.0,8.0,24.516464484371173,7756.588847463851,316.3828476332117
40.0,10.0,4.0,49.03292896874235,7756.588847463851,158.19142381660586
40.0,20.0,2.0,49.03292896874235,7756.588847463851,158.19142381660586
50.0,6.25,8.0,24.839608555481522,9695.594688150913,390.3279983859215
50.0,12.5,4.0,49.679217110963044,9695.594688150913,195.16399919296074
50.0,25.0,2.0,49.679217110963044,9695.594688150913,195.16399919296074
60.0,7.5,8.0,25.162752626591875,11634.600528837975,462.3739183662516
60.0,15.0,4.0,50.32550525318375,11634.600528837975,231.1869591831258
60.0,30.0,2.0,50.32550525318375,11634.600528837975,231.1869591831258
70.0,8.75,8.0,25.48584518640449,13794.130291194744,541.2467269695757
70.0,17.5,4.0,50.97169037280898,13794.130291194744,270.62336348478783
70.0,35.0,2.0,50.97169037280898,13794.130291194744,270.62336348478783
80.0,10.0,8.0,25.808448172454604,15756.875120770696,610.5316761194512
80.0,20.0,4.0,51.61689634490921,15756.875120770696,305.2658380597256
80.0,40.0,2.0,51.61689634490921,15756.875120770696,305.2658380597256
90.0,11.25,8.0,26.13105115850471,17719.619471306003,678.1058811535374
90.0,22.5,4.0,52.26210231700942,17719.619471306003,339.0529405767687
90.0,45.0,2.0,52.26210231700942,17719.619471306003,339.0529405767687
100.0,12.5,8.0,26.45365414455482,19389.008380734776,732.942536966137
100.0,25.0,4.0,52.90730828910964,19389.008380734776,366.4712684830685
100.0,50.0,2.0,52.90730828910964,19389.008380734776,366.4712684830685
110.0,13.75,8.0,26.776257130604932,21327.270176777398,796.4993043183989
110.0,27.5,4.0,53.552514261209865,21327.270176777398,398.24965215919946
110.0,55.0,2.0,53.552514261209865,21327.270176777398,398.24965215919946
120.0,15.0,8.0,27.09886011665504,23265.35000931273,858.5361121892273
120.0,30.0,4.0,54.19772023331008,23265.35000931273,429.26805609461366
120.0,60.0,2.0,54.19772023331008,23265.35000931273,429.26805609461366
130.0,16.25,8.0,27.42146310270515,25203.389583133125,919.1117734577332
130.0,32.5,4.0,54.8429262054103,25203.389583133125,459.5558867288666
130.0,65.0,2.0,54.8429262054103,25203.389583133125,459.5558867288666
140.0,17.5,8.0,27.743892814651137,27140.121360488447,978.2376806962054
140.0,35.0,4.0,55.48778562930227,27140.121360488447,489.1188403481027
140.0,70.0,2.0,55.48778562930227,27140.121360488447,489.1188403481027
150.0,18.75,8.0,28.065490594006256,29079.065171193648,1036.1146217555824
150.0,37.5,4.0,56.13098118801251,29079.065171193648,518.0573108777912
150.0,75.0,2.0,56.13098118801251,29079.065171193648,518.0573108777912
160.0,20.0,8.0,28.225321232589096,30960.804292237444,1096.9159230148973
160.0,40.0,4.0,56.45064246517819,30960.804292237444,548.4579615074487
160.0,80.0,2.0,56.45064246517819,30960.804292237444,548.4579615074487
170.0,21.25,8.0,28.225321232589096,32787.288310502285,1161.6267549382544
170.0,42.5,4.0,56.45064246517819,32787.288310502285,580.8133774691272
170.0,85.0,2.0,56.45064246517819,32787.288310502285,580.8133774691272
180.0,22.5,8.0,28.225321232589096,34613.77232876712,1226.3375868616115
180.0,45.0,4.0,56.45064246517819,34613.77232876712,613.1687934308057
180.0,90.0,2.0,56.45064246517819,34613.77232876712,613.1687934308057
