mode,Q_day,cost_mean,cost_max,cost_p90,cost_cvar90,violation_mean,violation_max,violation_p90,violation_cvar90,full_pass_count,partial_pass_count,all_fail_count
discrete,72,7228.33253789875,9318.906425456622,8752.844919901065,9026.374340271437,0.016349490246549053,0.1391778332954803,0.06715686274509794,0.10085295379413022,18,6,0
discrete,63,6575.459384979525,8848.85713861709,8233.932960839313,8539.695701580053,0.014243886559440344,0.12129947866383467,0.0500243436668079,0.08186186379466932,14,10,0
discrete,54,5970.538328540926,8288.996083942162,7725.065977090311,8019.170131473027,0.02373838912160964,0.10844129153667109,0.07895956006850646,0.09617083827665364,14,10,0
discrete,45,5363.3754239713335,7777.185720730594,7211.619399175038,7490.498606656519,0.10334497595497853,0.272728309408797,0.22098937823672268,0.24882748874933033,1,23,0
discrete,36,4585.146813644723,7216.48284257991,6566.586673135463,6894.524349987315,0.26255384178212454,0.5566753789381975,0.5440475299811413,0.5525427350772324,0,24,0
continuous,72,7228.33253789875,9318.906425456622,8752.844919901065,9026.374340271437,0.016349490246549053,0.1391778332954803,0.06715686274509794,0.10085295379413022,18,6,0
continuous,63,6465.31155521762,8826.24543861709,8179.318003696456,8491.923055548308,0.009588759448771033,0.1176996846238012,0.03606015747355773,0.07425643446110716,20,4,0
continuous,54,5724.83149150389,8169.364122831051,7415.75345431253,7779.863249991544,0.01681275785408316,0.09503400522736283,0.06773314343966513,0.08618262052636756,16,8,0
continuous,45,5081.823439804668,7639.342014063927,6859.51393850837,7231.45467776763,0.059377159505480136,0.274015079984126,0.2300643652982429,0.2530710215715583,16,8,0
continuous,36,4300.800838297501,7031.669184246576,6056.884089802131,6521.810013876206,0.18369505484413595,0.5603704034320338,0.5520317453330732,0.5579688318300956,11,13,0
